iter	Passed	Remaining
0	42	21007
1	87	21901
2	134	22284
3	182	22644
4	226	22388
5	272	22432
6	321	22658
7	342	21041
8	386	21065
9	405	19885
10	453	20168
11	499	20325
12	555	20797
13	603	20937
14	646	20893
15	691	20905
16	735	20899
17	777	20815
18	850	21531
19	886	21265
20	931	21236
21	974	21174
22	1006	20882
23	1052	20875
24	1088	20681
25	1135	20708
26	1188	20817
27	1234	20812
28	1279	20781
29	1320	20693
30	1368	20708
31	1415	20701
32	1460	20673
33	1482	20318
34	1519	20181
35	1561	20130
36	1611	20162
37	1654	20118
38	1708	20198
39	1754	20172
40	1815	20324
41	1859	20274
42	1903	20231
43	1946	20168
44	1990	20127
45	2035	20086
46	2058	19835
47	2103	19803
48	2149	19781
49	2165	19492
50	2212	19479
51	2253	19413
52	2296	19367
53	2349	19408
54	2394	19372
55	2438	19335
56	2452	19061
57	2494	19011
58	2537	18965
59	2582	18940
60	2627	18912
61	2683	18957
62	2726	18909
63	2747	18716
64	2780	18608
65	2824	18575
66	2867	18530
67	2910	18487
68	2952	18443
69	2997	18411
70	3041	18377
71	3089	18365
72	3137	18350
73	3194	18390
74	3242	18372
75	3286	18334
76	3330	18296
77	3374	18256
78	3418	18217
79	3472	18230
80	3516	18189
81	3572	18210
82	3604	18107
83	3648	18069
84	3702	18076
85	3745	18032
86	3776	17926
87	3784	17718
88	3840	17737
89	3865	17608
90	3910	17577
91	3933	17443
92	3981	17424
93	4025	17387
94	4072	17360
95	4118	17330
96	4155	17264
97	4197	17217
98	4242	17183
99	4288	17153
100	4332	17117
101	4377	17081
102	4422	17045
103	4498	17127
104	4554	17133
105	4602	17106
106	4650	17082
107	4697	17051
108	4745	17023
109	4768	16907
110	4826	16912
111	4860	16839
112	4918	16845
113	4963	16807
114	5015	16791
115	5057	16742
116	5105	16712
117	5151	16678
118	5197	16641
119	5214	16511
120	5258	16470
121	5307	16445
122	5352	16404
123	5397	16365
124	5438	16316
125	5488	16290
126	5511	16187
127	5555	16146
128	5598	16100
129	5643	16061
130	5688	16024
131	5723	15955
132	5764	15906
133	5807	15862
134	5852	15824
135	5897	15785
136	5907	15651
137	5951	15611
138	5995	15572
139	6039	15530
140	6091	15510
141	6140	15482
142	6200	15480
143	6223	15385
144	6270	15351
145	6322	15329
146	6361	15275
147	6406	15237
148	6453	15201
149	6501	15169
150	6543	15123
151	6593	15095
152	6637	15052
153	6658	14959
154	6714	14945
155	6752	14890
156	6799	14854
157	6846	14820
158	6881	14757
159	6926	14719
160	6973	14683
161	7041	14690
162	7087	14653
163	7134	14616
164	7149	14516
165	7192	14470
166	7237	14431
167	7284	14395
168	7307	14312
169	7322	14214
170	7365	14170
171	7406	14124
172	7448	14079
173	7497	14047
174	7545	14012
175	7603	13998
176	7629	13922
177	7657	13852
178	7670	13755
179	7713	13713
180	7759	13675
181	7804	13637
182	7848	13595
183	7890	13551
184	7932	13506
185	7978	13468
186	8002	13394
187	8059	13375
188	8104	13335
189	8147	13292
190	8191	13252
191	8221	13188
192	8251	13125
193	8259	13028
194	8303	12986
195	8348	12949
196	8400	12921
197	8423	12847
198	8481	12829
199	8546	12819
200	8567	12744
201	8609	12701
202	8654	12662
203	8698	12621
204	8749	12591
205	8812	12577
206	8891	12585
207	8935	12543
208	8988	12514
209	9032	12472
210	9089	12450
211	9149	12428
212	9196	12391
213	9217	12318
214	9238	12245
215	9281	12203
216	9326	12163
217	9371	12122
218	9413	12079
219	9471	12054
220	9515	12012
221	9543	11951
222	9588	11910
223	9633	11869
224	9679	11830
225	9724	11789
226	9774	11755
227	9821	11716
228	9865	11674
229	9917	11642
230	9963	11602
231	10009	11562
232	10053	11521
233	10101	11482
234	10147	11443
235	10191	11400
236	10241	11365
237	10290	11327
238	10333	11285
239	10377	11242
240	10420	11199
241	10482	11175
242	10530	11137
243	10577	11097
244	10620	11054
245	10670	11017
246	10713	10973
247	10760	10933
248	10810	10897
249	10855	10855
250	10898	10812
251	10944	10770
252	10988	10727
253	11034	10687
254	11078	10643
255	11122	10601
256	11167	10558
257	11213	10518
258	11257	10474
259	11312	10442
260	11365	10407
261	11409	10364
262	11456	10324
263	11515	10294
264	11559	10250
265	11603	10207
266	11648	10164
267	11695	10124
268	11756	10095
269	11800	10052
270	11848	10012
271	11893	9969
272	11917	9909
273	11962	9866
274	12007	9824
275	12054	9783
276	12100	9741
277	12145	9699
278	12190	9656
279	12235	9613
280	12282	9572
281	12325	9528
282	12372	9486
283	12418	9444
284	12466	9404
285	12510	9361
286	12564	9325
287	12611	9283
288	12654	9238
289	12697	9195
290	12755	9161
291	12798	9116
292	12861	9086
293	12906	9043
294	12950	8999
295	12995	8956
296	13041	8913
297	13093	8875
298	13139	8832
299	13194	8796
300	13242	8754
301	13299	8719
302	13344	8676
303	13398	8638
304	13445	8596
305	13489	8551
306	13536	8509
307	13583	8467
308	13638	8430
309	13696	8394
310	13740	8350
311	13786	8307
312	13836	8266
313	13878	8221
314	13923	8177
315	13978	8139
316	14023	8095
317	14071	8053
318	14115	8009
319	14159	7964
320	14206	7921
321	14252	7878
322	14298	7835
323	14361	7801
324	14409	7759
325	14454	7714
326	14499	7671
327	14542	7626
328	14586	7581
329	14636	7540
330	14680	7495
331	14758	7468
332	14803	7424
333	14844	7377
334	14915	7346
335	14958	7301
336	15007	7258
337	15052	7214
338	15099	7170
339	15140	7124
340	15197	7086
341	15243	7042
342	15294	7000
343	15336	6954
344	15384	6912
345	15431	6868
346	15478	6825
347	15529	6782
348	15571	6737
349	15614	6691
350	15661	6648
351	15706	6604
