iter	Passed	Remaining
0	179	89731
1	228	57018
2	272	45113
3	325	40317
4	367	36403
5	409	33745
6	452	31843
7	474	29159
8	517	28208
9	558	27385
10	599	26656
11	639	26007
12	687	25768
13	745	25887
14	793	25648
15	835	25276
16	878	24963
17	925	24775
18	970	24570
19	1017	24420
20	1058	24132
21	1105	24025
22	1135	23559
23	1181	23435
24	1225	23277
25	1268	23121
26	1311	22984
27	1354	22835
28	1398	22720
29	1443	22609
30	1486	22492
31	1528	22358
32	1582	22394
33	1626	22286
34	1647	21881
35	1691	21796
36	1750	21901
37	1789	21761
38	1848	21846
39	1902	21883
40	1948	21817
41	1963	21408
42	2010	21364
43	2054	21296
44	2106	21295
45	2151	21234
46	2168	20897
47	2214	20855
48	2293	21109
49	2339	21059
50	2384	20992
51	2399	20675
52	2461	20759
53	2521	20822
54	2562	20736
55	2615	20738
56	2659	20672
57	2710	20654
58	2756	20600
59	2801	20541
60	2852	20529
61	2869	20271
62	2906	20161
63	2950	20099
64	2994	20042
65	3041	19998
66	3118	20151
67	3162	20091
68	3214	20081
69	3259	20022
70	3303	19958
71	3345	19888
72	3387	19817
73	3432	19758
74	3476	19698
75	3532	19709
76	3592	19737
77	3647	19731
78	3709	19767
79	3753	19707
80	3843	19881
81	3891	19839
82	3934	19767
83	3957	19598
84	4014	19599
85	4055	19521
86	4096	19447
87	4160	19478
88	4215	19467
89	4266	19434
90	4308	19362
91	4354	19310
92	4416	19326
93	4457	19253
94	4513	19241
95	4555	19169
96	4610	19156
97	4654	19093
98	4702	19047
99	4746	18984
100	4790	18926
101	4836	18870
102	4892	18855
103	4934	18789
104	4978	18730
105	5024	18675
106	5077	18649
107	5127	18609
108	5172	18552
109	5214	18488
110	5264	18449
111	5307	18385
112	5350	18325
113	5400	18285
114	5430	18178
115	5477	18131
116	5519	18067
117	5578	18059
118	5626	18013
119	5676	17974
120	5685	17809
121	5737	17776
122	5784	17729
123	5830	17680
124	5888	17666
125	5936	17620
126	5980	17564
127	6002	17445
128	6044	17385
129	6102	17369
130	6145	17310
131	6191	17260
132	6237	17211
133	6253	17081
134	6299	17031
135	6321	16920
136	6344	16811
137	6423	16850
138	6468	16799
139	6509	16739
140	6539	16650
141	6586	16606
142	6624	16538
143	6693	16548
144	6743	16509
145	6778	16435
146	6821	16380
147	6859	16314
148	6909	16276
149	6956	16232
150	6979	16130
151	7021	16076
152	7037	15960
153	7086	15920
154	7130	15871
155	7177	15826
156	7224	15783
157	7269	15734
158	7314	15686
159	7367	15656
160	7445	15677
161	7488	15624
162	7532	15574
163	7578	15527
164	7624	15480
165	7671	15435
166	7716	15387
167	7760	15336
168	7803	15283
169	7813	15168
170	7829	15062
171	7876	15020
172	7920	14970
173	7958	14910
174	7986	14832
175	7995	14719
176	8041	14674
177	8085	14627
178	8129	14578
179	8190	14561
180	8234	14512
181	8257	14428
182	8266	14318
183	8309	14270
184	8324	14173
185	8370	14131
186	8394	14050
187	8438	14003
188	8481	13956
189	8526	13911
190	8570	13866
191	8639	13859
192	8686	13817
193	8704	13729
194	8750	13686
195	8808	13661
196	8852	13615
197	8902	13578
198	8947	13534
199	8957	13435
200	9002	13392
201	9055	13358
202	9100	13313
203	9108	13215
204	9160	13181
205	9206	13139
206	9250	13093
207	9293	13046
208	9353	13023
209	9416	13004
210	9461	12959
211	9506	12914
212	9550	12868
213	9583	12807
214	9597	12722
215	9641	12676
216	9687	12634
217	9730	12586
218	9773	12540
219	9819	12497
220	9867	12456
221	9910	12409
222	9957	12368
223	10004	12327
224	10058	12293
225	10115	12263
226	10179	12242
227	10223	12196
228	10271	12155
